,z,n,symbol,atomic_mass,binding
1580,55,82,Cs,136907089.296,8388.9581
1581,55,83,Cs,137911017.119,8360.1437
1582,55,84,Cs,138913363.822,8342.3397
1583,55,85,Cs,139917283.707,8314.3227
1584,55,86,Cs,140920045.279,8294.3554
1585,55,87,Cs,141924299.514,8264.8777
1586,55,88,Cs,142927347.346,8243.6707
1587,55,89,Cs,143932075.402,8211.8894
1588,55,90,Cs,144935528.927,8188.7342
1589,55,91,Cs,145940621.867,8155.4365
1590,55,92,Cs,146944261.512,8131.801
1591,55,93,Cs,147949639.026,8097.5469
1592,55,94,Cs,148953516,8073
1593,55,95,Cs,149959023,8039
1594,55,96,Cs,150963199,8013
1595,55,97,Cs,151968728,7980
1596,56,58,Ba,113950718.489,8089.6865
1597,56,59,Ba,114947482,8116
1598,56,60,Ba,115941621,8162
1599,56,61,Ba,116938316.403,8187.9546
1600,56,62,Ba,117933226,8227
1601,56,63,Ba,118930659.683,8245.9287
1602,56,64,Ba,119926044.997,8280.2949
1603,56,65,Ba,120924052.286,8293.9083
1604,56,66,Ba,121919904,8323.7567
1605,56,67,Ba,122918781.06,8330.2086
1606,56,68,Ba,123915093.627,8355.8209
1607,56,69,Ba,124914471.84,8358.1784
1608,56,70,Ba,125911250.202,8379.7187
1609,56,71,Ba,126911091.272,8378.456
1610,56,72,Ba,127908352.446,8395.9878
1611,56,73,Ba,128908683.409,8391.0811
1612,56,74,Ba,129906326.002,8405.513
1613,56,75,Ba,130906946.315,8398.5511
1614,56,76,Ba,131905061.231,8409.3747
1615,56,77,Ba,132906007.443,8400.2059
1616,56,78,Ba,133904508.249,8408.1731
1617,56,79,Ba,134905688.447,8397.5345
1618,56,80,Ba,135904575.8,8402.7566
1619,56,81,Ba,136905827.207,8391.8288
1620,56,82,Ba,137905247.059,8393.4222
1621,56,83,Ba,138908841.164,8367.0194
1622,56,84,Ba,139910608.231,8353.15
1623,56,85,Ba,140914403.653,8326.0774
1624,56,86,Ba,141916432.904,8310.9718
1625,56,87,Ba,142920625.149,8281.9878
1626,56,88,Ba,143922954.821,8265.4549
1627,56,89,Ba,144927518.4,8234.7991
1628,56,90,Ba,145930363.2,8215.5293
1629,56,91,Ba,146935303.9,8183.2405
1630,56,92,Ba,147938223,8164.1118
1631,56,93,Ba,148943284,8131.8495
1632,56,94,Ba,149946441.1,8111.8405
1633,56,95,Ba,150951755,8079
1634,56,96,Ba,151955330,8057
1635,56,97,Ba,152960848,8023
1636,56,98,Ba,153964659,8001
1637,57,60,La,116950326,8086
1638,57,63,La,119938196,8179
1639,57,64,La,120933236,8217
1640,57,65,La,121930710,8235
1641,57,66,La,122926300,8267
1642,57,67,La,123924574.275,8278.2926
1643,57,68,La,124920815.931,8304.6438
1644,57,69,La,125919512.667,8312.4268
1645,57,70,La,126916375.083,8333.5412
1646,57,71,La,127915592.123,8337.1904
1647,57,72,La,128912695.592,8356.0449
1648,57,73,La,129912369.413,8356.1919
1649,57,74,La,130910070,8370.3676
1650,57,75,La,131910119.047,8367.7559
1651,57,76,La,132908218,8378.8415
1652,57,77,La,133908514.011,8374.4888
1653,57,78,La,134906984.427,8382.7972
1654,57,79,La,135907634.962,8376.0512
1655,57,80,La,136906450.438,8381.8807
1656,57,81,La,137907124.041,8375.0835
1657,57,82,La,138906362.927,8377.9987
1658,57,83,La,139909487.285,8355.0201
1659,57,84,La,140910971.155,8343.205
1660,57,85,La,141914090.76,8320.8263
1661,57,86,La,142916079.482,8306.1271
1662,57,87,La,143919645.589,8281.4283
1663,57,88,La,144921808.065,8266.0873
1664,57,89,La,145925688.017,8239.9988
1665,57,90,La,146928417.8,8221.5536
1666,57,91,La,147932679.4,8193.7165
1667,57,92,La,148935351.259,8176.1915
1668,57,93,La,149939547.5,8149.4339
1669,57,94,La,150942769,8129.0436
1670,57,95,La,151947085,8102
1671,57,96,La,152950553,8081
1672,57,97,La,153955416,8051
1673,57,98,La,154959280,8028
1674,57,99,La,155964519,7997
1675,57,100,La,156968792,7972
1676,58,63,Ce,120943435,8132
1677,58,64,Ce,121937870,8174
1678,58,65,Ce,122935280,8193
1679,58,66,Ce,123930310,8229
1680,58,67,Ce,124928440,8242
1681,58,68,Ce,125923971,8273.2581
1682,58,69,Ce,126922727,8280.7922
1683,58,70,Ce,127918911,8306.9259
1684,58,71,Ce,128918102,8310.9411
1685,58,72,Ce,129914736,8333.2164
1686,58,73,Ce,130914429.465,8333.3969
1687,58,74,Ce,131911466.226,8352.3223
1688,58,75,Ce,132911520.402,8349.8301
1689,58,76,Ce,133908928.142,8365.7716
1690,58,77,Ce,134909160.662,8361.9861
1691,58,78,Ce,135907129.256,8373.7624
1692,58,79,Ce,136907762.416,8367.2497
1693,58,80,Ce,137905994.18,8377.0408
1694,58,81,Ce,138906647.029,8370.4664
1695,58,82,Ce,139905448.433,8376.3045
1696,58,83,Ce,140908285.991,8355.3956
1697,58,84,Ce,141909250.208,8347.07
1698,58,85,Ce,142912391.953,8324.6765
1699,58,86,Ce,143913652.763,8314.7612
1700,58,87,Ce,144917265.113,8289.8762
1701,58,88,Ce,145918812.294,8278.5081
1702,58,89,Ce,146922689.9,8252.5274
1703,58,90,Ce,147924424.186,8240.3876
1704,58,91,Ce,148928426.9,8214.2294
1705,58,92,Ce,149930384.032,8201.123
1706,58,93,Ce,150934272.2,8176.2779
1707,58,94,Ce,151936682,8161
1708,58,95,Ce,152941052,8134
1709,58,96,Ce,153943940,8116
1710,58,97,Ce,154948706,8087
1711,58,98,Ce,155951884,8068
1712,58,99,Ce,156957133,8037
1713,58,100,Ce,157960773,8015
1714,59,62,Pr,120955393,8033
1715,59,65,Pr,123942940,8128
1716,59,66,Pr,124937659,8167
1717,59,67,Pr,125935240,8184
1718,59,68,Pr,126930710,8216
1719,59,69,Pr,127928791,8228.9141
1720,59,70,Pr,128925095,8254.3808
1721,59,71,Pr,129923590,8263.7565
1722,59,72,Pr,130920234.96,8286.1439
1723,59,73,Pr,131919240,8291.5377
1724,59,74,Pr,132916330.558,8310.2588
1725,59,75,Pr,133915696.729,8312.8817
1726,59,76,Pr,134913111.772,8328.9284
1727,59,77,Pr,135912677.47,8330.0089
1728,59,78,Pr,136910679.183,8341.7074
1729,59,79,Pr,137910757.495,8339.2195
1730,59,80,Pr,138908932.7,8349.5208
1731,59,81,Pr,139909085.6,8346.5163
1732,59,82,Pr,140907659.604,8353.9852
1733,59,83,Pr,141910051.64,8336.3032
1734,59,84,Pr,142910822.624,8329.428
1735,59,85,Pr,143913310.682,8311.5411
1736,59,86,Pr,144914517.987,8302.1285
1737,59,87,Pr,145917687.63,8280.325
1738,59,88,Pr,146919007.438,8270.54
1739,59,89,Pr,147922129.992,8249.5409
1740,59,90,Pr,148923736.1,8238.304
1741,59,91,Pr,149926676.391,8218.9316
1742,59,92,Pr,150928309.066,8207.8824
1743,59,93,Pr,151931552.9,8187.1049
1744,59,94,Pr,152933903.511,8172.0371
1745,59,95,Pr,153937885.165,8147.2994
1746,59,96,Pr,154940509.193,8131.0398
1747,59,97,Pr,155944766.9,8105.2337
1748,59,98,Pr,156948003.1,8085.817
1749,59,99,Pr,157952603,8059
1750,59,100,Pr,158956232,8037
1751,59,101,Pr,159961138,8009
1752,59,102,Pr,160965121,7986
1753,60,65,Nd,124948395,8080
1754,60,66,Nd,125942694,8122
1755,60,67,Nd,126939978,8142
1756,60,68,Nd,127935018,8177
1757,60,69,Nd,128933038,8191
1758,60,70,Nd,129928506,8222.5136
1759,60,71,Nd,130927248.02,8230.3045
1760,60,72,Nd,131923321.237,8256.8104
1761,60,73,Nd,132922348,8262.232
1762,60,74,Nd,133918790.207,8285.5391
1763,60,75,Nd,134918181.318,8288.1536
1764,60,76,Nd,135914976.061,8308.5127
1765,60,77,Nd,136914563.099,8309.5892
1766,60,78,Nd,137911950.938,8325.4946
1767,60,79,Nd,138911951.208,8323.6642
1768,60,80,Nd,139909546.13,8337.864
1769,60,81,Nd,140909616.69,8335.5074
1770,60,82,Nd,141907728.824,8346.031
1771,60,83,Nd,142909819.815,8330.4893
1772,60,84,Nd,143910092.798,8326.9237
1773,60,85,Nd,144912579.151,8309.1883
1774,60,86,Nd,145913122.459,8304.0927
1775,60,87,Nd,146916105.969,8283.6036
1776,60,88,Nd,147916899.027,8277.1778
1777,60,89,Nd,148920154.583,8255.4437
1778,60,90,Nd,149920901.322,8249.5789
1779,60,91,Nd,150923839.363,8230.2741
1780,60,92,Nd,151924691.242,8224.0078
1781,60,93,Nd,152927717.868,8204.5832
1782,60,94,Nd,153929597.404,8192.3491
1783,60,95,Nd,154933135.598,8170.305
1784,60,96,Nd,155935370.358,8156.3265
1785,60,97,Nd,156939351.074,8132.1671
1786,60,98,Nd,157942205.62,8114.9529
1787,60,99,Nd,158946619.085,8088.8224
1788,60,100,Nd,159949839.172,8069.9662
1789,60,101,Nd,160954664,8042
1790,60,102,Nd,161958121,8022
1791,60,103,Nd,162963414,7992
1792,61,67,Pm,127948234,8075
1793,61,68,Pm,128942909,8114
1794,61,69,Pm,129940451,8131
1795,61,70,Pm,130935834,8163
1796,61,71,Pm,131933840,8177
1797,61,72,Pm,132929782,8204.2841
1798,61,73,Pm,133928326,8213.4131
1799,61,74,Pm,134924785,8236.7933
1800,61,75,Pm,135923595.949,8243.7207
1801,61,76,Pm,136920479.519,8263.6516
1802,61,77,Pm,137919576.119,8268.3558
1803,61,78,Pm,138916799.228,8285.5473
1804,61,79,Pm,139916035.918,8289.0958
1805,61,80,Pm,140913555.081,8303.9405
1806,61,81,Pm,141912890.982,8306.6587
1807,61,82,Pm,142910938.068,8317.7341
1808,61,83,Pm,143912596.208,8305.2969
1809,61,84,Pm,144912755.748,8302.6583
1810,61,85,Pm,145914702.24,8288.655
1811,61,86,Pm,146915144.944,8284.3712
1812,61,87,Pm,147917481.091,8268.2283
1813,61,88,Pm,148918341.507,8261.5277
1814,61,89,Pm,149920990.014,8243.8125
1815,61,90,Pm,150921216.613,8241.2723
1816,61,91,Pm,151923505.185,8226.1293
1817,61,92,Pm,152924156.252,8221.1536
1818,61,93,Pm,153926712.791,8204.717
1819,61,94,Pm,154928136.951,8195.2977
1820,61,95,Pm,155931114.059,8176.7263
1821,61,96,Pm,156933121.298,8164.1458
1822,61,97,Pm,157936546.948,8143.3622
1823,61,98,Pm,158939286.409,8126.8601
1824,61,99,Pm,159943215.272,8103.6398
1825,61,100,Pm,160946229.837,8085.9977
1826,61,101,Pm,161950574,8061
1827,61,102,Pm,162953881,8042
1828,61,103,Pm,163958819,8014
1829,61,104,Pm,164962780,7992
1830,62,67,Sm,128954557,8023
1831,62,68,Sm,129948792,8065
1832,62,69,Sm,130946022,8085
1833,62,70,Sm,131940805,8122
1834,62,71,Sm,132938560,8137
1835,62,72,Sm,133934110,8167
1836,62,73,Sm,134932520,8177.627
1837,62,74,Sm,135928275.553,8205.9165
1838,62,75,Sm,136927007.959,8213.5527
1839,62,76,Sm,137923243.988,8237.9286
1840,62,77,Sm,138922296.631,8243.0786
1841,62,78,Sm,139918994.714,8263.8211
1842,62,79,Sm,140918481.545,8265.846
1843,62,80,Sm,141915209.415,8285.9407
1844,62,81,Sm,142914634.848,8288.1825
1845,62,82,Sm,143912006.285,8303.68
1846,62,83,Sm,144913417.157,8293.0139
1847,62,84,Sm,145913046.835,8293.8581
1848,62,85,Sm,146914904.401,8280.5734
1849,62,86,Sm,147914829.233,8279.6326
1850,62,87,Sm,148917191.211,8263.4683
1851,62,88,Sm,149917281.993,8261.6235
1852,62,89,Sm,150919938.859,8243.9735
1853,62,90,Sm,151919738.646,8244.0645
1854,62,91,Sm,152922103.576,8228.5373
1855,62,92,Sm,153922215.756,8226.8379
1856,62,93,Sm,154924646.645,8211.2258
1857,62,94,Sm,155925538.191,8205.0054
1858,62,95,Sm,156928418.598,8187.0642
1859,62,96,Sm,157929949.262,8177.3075
1860,62,97,Sm,158933217.13,8157.4963
1861,62,98,Sm,159935337.032,8144.6159
1862,62,99,Sm,160939160.062,8122.0418
1863,62,100,Sm,161941621.687,8107.5745
1864,62,101,Sm,162945679.085,8084.1653
1865,62,102,Sm,163948550.061,8067.7803
1866,62,103,Sm,164953290,8041
1867,62,104,Sm,165956575,8023
1868,62,105,Sm,166962072,7992
1869,62,106,Sm,167966033,7971
1870,63,67,Eu,129964022,7950
1871,63,68,Eu,130957634,7996
1872,63,69,Eu,131954696,8018
1873,63,71,Eu,133946537,8075
1874,63,72,Eu,134941870,8107
1875,63,73,Eu,135939620,8122
1876,63,74,Eu,136935430.719,8150.5738
1877,63,75,Eu,137933709,8161.6211
1878,63,76,Eu,138929792.307,8187.2187
1879,63,77,Eu,139928087.633,8197.733
1880,63,78,Eu,140924931.734,8217.6853
1881,63,79,Eu,141923446.719,8226.396
1882,63,80,Eu,142920298.678,8245.8177
1883,63,81,Eu,143918819.481,8254.1744
1884,63,82,Eu,144916272.659,8269.2744
1885,63,83,Eu,145917210.852,8261.9327
1886,63,84,Eu,146916752.44,8263.5409
1887,63,85,Eu,147918091.288,8253.8155
1888,63,86,Eu,148917936.875,8253.556
1889,63,87,Eu,149919707.092,8241.3481
1890,63,88,Eu,150919856.606,8239.2998
1891,63,89,Eu,151921750.98,8226.5854
1892,63,90,Eu,152921236.789,8228.7011
1893,63,91,Eu,153922985.699,8217.1006
1894,63,92,Eu,154922899.847,8216.676
1895,63,93,Eu,155924762.976,8204.6192
1896,63,94,Eu,156925432.556,8199.7975
1897,63,95,Eu,157927782.192,8185.132
1898,63,96,Eu,158929099.512,8176.6987
1899,63,97,Eu,159931836.982,8160.103
1900,63,98,Eu,160933663.991,8148.981
1901,63,99,Eu,161936958.329,8129.5593
1902,63,100,Eu,162939265.51,8116.0172
1903,63,101,Eu,163942852.943,8095.3686
1904,63,102,Eu,164945540.07,8080.0529
1905,63,103,Eu,165949813,8056
1906,63,104,Eu,166953011,8038
1907,63,105,Eu,167957863,8012
1908,63,106,Eu,168961717,7991
1909,64,70,Gd,133955416,8008
1910,64,71,Gd,134952496,8028
1911,64,72,Gd,135947300,8064
1912,64,73,Gd,136945020,8080
1913,64,74,Gd,137940247,8112
1914,64,75,Gd,138938130,8126
1915,64,76,Gd,139933674,8154.9757
1916,64,77,Gd,140932126,8164.609
1917,64,78,Gd,141928116,8190.2569
1918,64,79,Gd,142926750.678,8198.3188
1919,64,80,Gd,143922963,8221.9382
1920,64,81,Gd,144921710.051,8228.9485
1921,64,82,Gd,145918318.513,8249.5072
1922,64,83,Gd,146919101.014,8243.3366
1923,64,84,Gd,147918121.414,8248.3398
1924,64,85,Gd,148919347.666,8239.4856
1925,64,86,Gd,149918663.949,8242.6103
1926,64,87,Gd,150920354.922,8231.0446
1927,64,88,Gd,151919798.414,8233.4042
1928,64,89,Gd,152921756.945,8220.4209
1929,64,90,Gd,153920872.974,8224.7996
1930,64,91,Gd,154922629.356,8213.2541
1931,64,92,Gd,155922130.12,8215.3253
1932,64,93,Gd,156923967.424,8203.5072
1933,64,94,Gd,157924111.2,8201.8229
1934,64,95,Gd,158926395.822,8187.6177
1935,64,96,Gd,159927061.202,8183.0171
1936,64,97,Gd,160929676.267,8167.1934
1937,64,98,Gd,161930991.812,8159.0373
1938,64,99,Gd,162934096.64,8140.756
1939,64,100,Gd,163935916.193,8129.9978
1940,64,101,Gd,164939317.08,8110.4428
1941,64,102,Gd,165941630.413,8097.226
1942,64,103,Gd,166945490.012,8075.5428
1943,64,104,Gd,167948309,8060
1944,64,105,Gd,168952882,8035
1945,64,106,Gd,169956146,8017
1946,64,107,Gd,170961127,7990
1947,64,108,Gd,171964605,7972
1948,65,70,Tb,134964516,7939
1949,65,73,Tb,137953193,8019
1950,65,74,Tb,138948330,8052
1951,65,75,Tb,139945805.048,8068.6732
1952,65,76,Tb,140941448,8097.4761
1953,65,77,Tb,141939280.858,8111.508
1954,65,78,Tb,142935137.332,8138.2176
1955,65,79,Tb,143933045,8151.2877
1956,65,80,Tb,144928717.001,8178.5397
1957,65,81,Tb,145927252.739,8187.1474
1958,65,82,Tb,146924054.62,8206.625
1959,65,83,Tb,147924275.476,8204.3207
1960,65,84,Tb,148923253.792,8209.8153
1961,65,85,Tb,149923664.799,8206.3396
1962,65,86,Tb,150923108.97,8208.8743
1963,65,87,Tb,151924081.855,8202.0072
1964,65,88,Tb,152923441.694,8205.0504
1965,65,89,Tb,153924683.681,8196.6697
1966,65,90,Tb,154923509.511,8202.9173
1967,65,91,Tb,155924754.209,8194.6415
1968,65,92,Tb,156924031.888,8198.1416
1969,65,93,Tb,157925419.942,8189.1556
1970,65,94,Tb,158925353.707,8188.8025
1971,65,95,Tb,159927174.553,8177.4676
1972,65,96,Tb,160927576.806,8174.4809
1973,65,97,Tb,161929275.4,8164.0773
1974,65,98,Tb,162930653.609,8155.6322
1975,65,99,Tb,163933327.561,8139.9304
1976,65,100,Tb,164934955.198,8130.3259
1977,65,101,Tb,165937939.727,8113.223
1978,65,102,Tb,166940007.046,8101.441
1979,65,103,Tb,167943337.074,8082.798
1980,65,104,Tb,168945807,8069
1981,65,105,Tb,169949855,8047
1982,65,106,Tb,170953011,8030
1983,65,107,Tb,171957391,8006
1984,65,108,Tb,172960805,7988
1985,65,109,Tb,173965679,7963
1986,66,73,Dy,138959527,7971
1987,66,74,Dy,139954020,8008
1988,66,75,Dy,140951280,8027
1989,66,76,Dy,141946194,8061
1990,66,77,Dy,142943994.332,8075.0527
1991,66,78,Dy,143939269.512,8105.5902
1992,66,79,Dy,144937473.992,8116.8884
1993,66,80,Dy,145932844.526,8146.1128
1994,66,81,Dy,146931082.712,8156.768
1995,66,82,Dy,147927149.944,8180.943
1996,66,83,Dy,148927327.516,8179.0972
1997,66,84,Dy,149925593.068,8189.1495
1998,66,85,Dy,150926191.279,8184.6789
1999,66,86,Dy,151924725.274,8192.9171
2000,66,87,Dy,152925771.729,8185.7514
2001,66,88,Dy,153924428.92,8193.1305
2002,66,89,Dy,154925758.049,8184.357
2003,66,90,Dy,155924283.593,8192.4366
2004,66,91,Dy,156925469.555,8184.6287
2005,66,92,Dy,157924414.817,8190.1298
2006,66,93,Dy,158925745.938,8181.5842
2007,66,94,Dy,159925203.578,8184.0526
2008,66,95,Dy,160926939.425,8173.3093
2009,66,96,Dy,161926804.507,8173.4555
2010,66,97,Dy,162928737.221,8161.784
2011,66,98,Dy,163929180.819,8158.7129
2012,66,99,Dy,164931709.402,8143.9083
2013,66,100,Dy,165932812.81,8137.2793
2014,66,101,Dy,166935682.415,8120.8782
2015,66,102,Dy,167937134.977,8112.5293
2016,66,103,Dy,168940315.231,8094.7566
2017,66,104,Dy,169942340,8084
2018,66,105,Dy,170946312,8062
2019,66,106,Dy,171948728,8049
2020,66,107,Dy,172953043,8026
2021,66,108,Dy,173955845,8011
2022,66,109,Dy,174960569,7986
2023,66,110,Dy,175963918,7969
2024,67,73,Ho,139968526,7906
2025,67,74,Ho,140963108,7943
2026,67,75,Ho,141960010,7965
2027,67,76,Ho,142954860,7999
2028,67,77,Ho,143952109.712,8017.0977
2029,67,78,Ho,144947267.392,8048.5792
2030,67,79,Ho,145944993.503,8063.2426
2031,67,80,Ho,146940142.293,8094.0381
2032,67,81,Ho,147937743.925,8108.9797
2033,67,82,Ho,148933820.457,8133.255
2034,67,83,Ho,149933498.353,8134.8423
2035,67,84,Ho,150931698.176,8145.5267
2036,67,85,Ho,151931717.618,8144.9193
2037,67,86,Ho,152930206.671,8153.6372
2038,67,87,Ho,153930606.776,8150.6825
2039,67,88,Ho,154929103.363,8159.2055
2040,67,89,Ho,155929641.634,8155.428
2041,67,90,Ho,156928251.974,8163.1373
2042,67,91,Ho,157928944.91,8158.4709
2043,67,92,Ho,158927718.683,8165.1066
2044,67,93,Ho,159928735.538,8158.6004
2045,67,94,Ho,160927861.815,8163.1134
2046,67,95,Ho,161929102.543,8155.4126
2047,67,96,Ho,162928740.26,8156.967
2048,67,97,Ho,163930240.548,8147.9234
2049,67,98,Ho,164930329.116,8146.9591
2050,67,99,Ho,165932291.209,8135.4933
2051,67,100,Ho,166933140.254,8130.3732
2052,67,101,Ho,167935523.766,8116.8061
2053,67,102,Ho,168936879.89,8109.0622
2054,67,103,Ho,169939626.548,8093.7902
2055,67,104,Ho,170941472.713,8083.6021
2056,67,105,Ho,171944730,8066
2057,67,106,Ho,172947020,8054
2058,67,107,Ho,173950757,8034
2059,67,108,Ho,174953516,8019
2060,67,109,Ho,175957713,7997
2061,67,110,Ho,176961052,7980
2062,67,111,Ho,177965507,7957
2063,68,75,Er,142966548,7917
2064,68,76,Er,143960700,7956
2065,68,77,Er,144957874,7975
2066,68,78,Er,145952418.357,8010.5127
2067,68,79,Er,146949964.456,8026.476
2068,68,80,Er,147944735.026,8059.6924
2069,68,81,Er,148942306,8074.9558
2070,68,82,Er,149937915.524,8102.1962
2071,68,83,Er,150937448.567,8104.8723
2072,68,84,Er,151935050.347,8119.3485
2073,68,85,Er,152935086.35,8118.8154
2074,68,86,Er,153932790.799,8132.3919
2075,68,87,Er,154933215.71,8129.4444
2076,68,88,Er,155931065.926,8141.9084
2077,68,89,Er,156931922.652,8136.3757
2078,68,90,Er,157929893.474,8147.927
2079,68,91,Er,158930690.79,8142.7742
2080,68,92,Er,159929077.193,8151.7217
2081,68,93,Er,160930003.53,8145.8628
2082,68,94,Er,161928787.299,8152.3959
2083,68,95,Er,162930039.908,8144.7403
2084,68,96,Er,163929207.739,8149.0191
2085,68,97,Er,164930733.482,8139.9348
2086,68,98,Er,165930301.067,8141.9479
2087,68,99,Er,166932056.192,8131.7352
2088,68,100,Er,167932378.282,8129.5897
2089,68,101,Er,168934598.444,8117.0078
2090,68,102,Er,169935471.933,8111.9529
2091,68,103,Er,170938037.372,8097.7404
2092,68,104,Er,171939363.461,8090.4052
2093,68,105,Er,172942400,8074
2094,68,106,Er,173944230,8064
2095,68,107,Er,174947770,8045
2096,68,108,Er,175949940,8034
2097,68,109,Er,176953990,8013
2098,68,110,Er,177956779,7999
2099,68,111,Er,178961267,7976
2100,68,112,Er,179964380,7960
2101,69,75,Tm,143976211,7850
2102,69,76,Tm,144970389,7889
2103,69,77,Tm,145966661,7914
2104,69,78,Tm,146961379.887,7948.8178
2105,69,79,Tm,147958384.026,7968.5011
2106,69,80,Tm,148952828,8004
2107,69,81,Tm,149950090,8021
2108,69,82,Tm,150945494.433,8050.0576
2109,69,83,Tm,151944476,8056.4387
2110,69,84,Tm,152942058.023,8071.2571
2111,69,85,Tm,153941570.062,8074.209
2112,69,86,Tm,154939209.576,8088.376
2113,69,87,Tm,155938985.746,8089.6032
2114,69,88,Tm,156936973,8101.4285
2115,69,89,Tm,157936979.525,8101.1994
2116,69,90,Tm,158934975,8112.7549
2117,69,91,Tm,159935264.177,8110.8124
2118,69,92,Tm,160933549,8120.4906
2119,69,93,Tm,161934001.211,8117.5868
2120,69,94,Tm,162932658.282,8124.9774
2121,69,95,Tm,163933538.019,8119.6534
2122,69,96,Tm,164932441.843,8125.5489
2123,69,97,Tm,165933562.136,8118.9357
2124,69,98,Tm,166932857.206,8122.5826
2125,69,99,Tm,167934178.457,8114.9516
2126,69,100,Tm,168934218.956,8114.4702
2127,69,101,Tm,169935807.093,8105.5144
2128,69,102,Tm,170936435.162,8101.8931
2129,69,103,Tm,171938406.959,8091.0367
2130,69,104,Tm,172939606.63,8084.4633
2131,69,105,Tm,173942174.061,8070.6432
2132,69,106,Tm,174943842.31,8061.7673
2133,69,107,Tm,175946997.707,8045.1214
2134,69,108,Tm,176948932,8035
2135,69,109,Tm,177952506,8017
2136,69,110,Tm,178955018,8004
2137,69,111,Tm,179959023,7983
2138,69,112,Tm,180961954,7969
2139,70,79,Yb,148964219,7927
2140,70,80,Yb,149958314,7965
2141,70,81,Yb,150955402.453,7983.7556
2142,70,82,Yb,151950326.699,8015.4371
2143,70,83,Yb,152949372,8022
2144,70,84,Yb,153946395.696,8039.9402
2145,70,85,Yb,154945783.216,8043.8234
2146,70,86,Yb,155942817.096,8061.7107
2147,70,87,Yb,156942651.368,8062.7551
2148,70,88,Yb,157939871.202,8079.1999
2149,70,89,Yb,158940060.257,8078.0428
2150,70,90,Yb,159937559.21,8092.5614
2151,70,91,Yb,160937912.384,8090.3861
2152,70,92,Yb,161935779.342,8102.5333
2153,70,93,Yb,162936345.406,8099.1069
2154,70,94,Yb,163934500.743,8109.4149
2155,70,95,Yb,164935270.241,8104.8399
2156,70,96,Yb,165933876.439,8112.4591
2157,70,97,Yb,166934954.069,8106.202
2158,70,98,Yb,167933891.297,8111.887
2159,70,99,Yb,168935184.208,8104.5206
2160,70,100,Yb,169934767.242,8106.6101
2161,70,101,Yb,170936331.515,8097.8826
2162,70,102,Yb,171936386.654,8097.4295
2163,70,103,Yb,172938216.211,8087.4276
2164,70,104,Yb,173938867.545,8083.8481
2165,70,105,Yb,174941281.907,8070.9253
2166,70,106,Yb,175942574.706,8064.0853
2167,70,107,Yb,176945263.846,8049.9741
2168,70,108,Yb,177946669.4,8042.7386
2169,70,109,Yb,178949930,8026
2170,70,110,Yb,179951991,8016
2171,70,111,Yb,180955890,7996
2172,70,112,Yb,181958239,7984
2173,70,113,Yb,182962426,7963
2174,70,114,Yb,183965002,7951
2175,70,115,Yb,184969425,7929
2176,71,79,Lu,149973407,7866
2177,71,80,Lu,150967471,7904
2178,71,81,Lu,151964120,7926
2179,71,82,Lu,152958802.248,7959.0882
2180,71,83,Lu,153957416,7968
2181,71,84,Lu,154954326.005,7987.4369
2182,71,85,Lu,155953086.606,7995.3752
2183,71,86,Lu,156950144.807,8013.3128
2184,71,87,Lu,157949315.62,8018.5685
2185,71,88,Lu,158946635.615,8034.6009
2186,71,89,Lu,159946033,8038.3387
2187,71,90,Lu,160943572,8052.7821
2188,71,91,Lu,161943282.776,8054.5596
2189,71,92,Lu,162941179,8066.6848
2190,71,93,Lu,163941339,8065.8043
2191,71,94,Lu,164939406.758,8076.746
2192,71,95,Lu,165939859,8074.1756
2193,71,96,Lu,166938243,8083.1722
2194,71,97,Lu,167938729.798,8080.4026
2195,71,98,Lu,168937645.845,8086.3233
2196,71,99,Lu,169938479.23,8081.6686
2197,71,100,Lu,170937918.591,8084.6621
2198,71,101,Lu,171939091.32,8078.2334
2199,71,102,Lu,172938935.722,8079.0312
2200,71,103,Lu,173940342.84,8071.454
2201,71,104,Lu,174940777.211,8069.1412
2202,71,105,Lu,175942691.711,8059.0209
2203,71,106,Lu,176943763.57,8053.4495
2204,71,107,Lu,177945960.065,8042.0554
2205,71,108,Lu,178947332.985,8035.0744
2206,71,109,Lu,179949890.744,8022.0394
2207,71,110,Lu,180951908,8011.9301
2208,71,111,Lu,181955158,7996
2209,71,112,Lu,182957363,7984.8125
2210,71,113,Lu,183961030,7967
2211,71,114,Lu,184963542,7955
2212,71,115,Lu,185967450,7936
2213,71,116,Lu,186970188,7923
2214,71,117,Lu,187974428,7903
2215,72,79,Hf, , 
2216,72,81,Hf,152970692,7882
2217,72,82,Hf,153964863,7918
2218,72,83,Hf,154963167,7929
2219,72,84,Hf,155959399.083,7952.6676
2220,72,85,Hf,156958288,7960
2221,72,86,Hf,157954801.217,7981.2764
2222,72,87,Hf,158953995.837,7986.561
2223,72,88,Hf,159950682.728,8006.3791
2224,72,89,Hf,160950277.927,8009.1245
2225,72,90,Hf,161947215.526,8027.1171
2226,72,91,Hf,162947107.211,8028.0072
2227,72,92,Hf,163944370.709,8043.8142
2228,72,93,Hf,164944567,8042.8728
2229,72,94,Hf,165942180,8056.4386
2230,72,95,Hf,166942600,8054.185
2231,72,96,Hf,167940568,8065.5536
2232,72,97,Hf,168941259,8061.7791
2233,72,98,Hf,169939609,8070.8762
2234,72,99,Hf,170940492,8066.0687
2235,72,100,Hf,171939449.716,8071.7439
